Cell,Parent,LineageName,Birth,Death,Type,Description
ABa,AB,ABa,17,,,
ABal,ABa,ABal,35,,,
ABala,ABal,ABala,50,,,
ABalaa,ABala,ABalaa,68,,,
ABalaaa,ABalaa,ABalaaa,94,,,
ABalaaaa,ABalaaa,ABalaaaa,122,,,
ABalaaaal,ABalaaaa,ABalaaaal,175,,,
ABalaaaala,ABalaaaal,ABalaaaala,250,,,
AINL,ABalaaaala,ABalaaaalal,325,,neuron,Ring interneuron.
ABalaaaalar,ABalaaaala,ABalaaaalar,325,370,,
ABalaaaalp,ABalaaaal,ABalaaaalp,250,,,
ABalaaaalpa,ABalaaaalp,ABalaaaalpa,317,400,,
ILshL,ABalaaaalp,ABalaaaalpp,317,,sheath,Inner labial sheeth cell.
ABalaaaar,ABalaaaa,ABalaaaar,175,,,
ABalaaaarl,ABalaaaar,ABalaaaarl,250,,,
ABalaaaarla,ABalaaaarl,ABalaaaarla,310,400,,
RMEL,ABalaaaarl,ABalaaaarlp,310,,neuron,"Ring motoneuron, probably contain GABA."
ABalaaaarr,ABalaaaar,ABalaaaarr,250,,,
ABalaaaarra,ABalaaaarr,ABalaaaarra,310,400,,
RMER,ABalaaaarr,ABalaaaarrp,310,,neuron,"Ring motoneuron, probably contain GABA."
ABalaaap,ABalaaa,ABalaaap,122,,,
ABalaaapa,ABalaaap,ABalaaapa,170,,,
ABalaaapal,ABalaaapa,ABalaaapal,225,,,
ILsoL,ABalaaapal,ABalaaapall,285,,socket,"Inner labial socket cell, form protuberances at the tip of each labium."
AVDL,ABalaaapal,ABalaaapalr,285,,neuron,"Ventral cord interneuron, synapses onto VA, DA, and AS motoneurons; formerly called delta."
ABalaaapar,ABalaaapa,ABalaaapar,225,,,
ABalaaaparl,ABalaaapar,ABalaaaparl,295,390,,
ILshDL,ABalaaapar,ABalaaaparr,295,,sheath,Inner labial sheeth cell.
ABalaaapp,ABalaaap,ABalaaapp,170,,,
ABalaaappl,ABalaaapp,ABalaaappl,225,,,
ILshDR,ABalaaappl,ABalaaappll,295,,sheath,Inner labial sheeth cell.
