Cell,Parent,LineageName,Birth,Death,Type,Description,Unnamed: 7,Unnamed: 8
AB,P0,AB,0.0,,,Embryonic founder cell.,,
P1,P0,P1,0.0,,,,,
ABa,AB,ABa,17.0,,,,,
ABp,AB,ABp,17.0,,,,,
EMS,P1,EMS,18.0,,,,,
P2,P1,P2,18.0,,,,,
ABar,ABa,ABar,35.0,,,,,
ABpr,ABp,ABpr,35.0,,,,,
ABal,ABa,ABal,35.0,,,,,
ABpl,ABp,ABpl,35.0,,,,,
MS,EMS,MS,39.0,,,Embryonic founder cell.,,
E,EMS,E,39.0,,,Embryonic founder cell.,,
C,P2,C,42.0,,,,,
P3,P2,P3,42.0,,,,,
ABara,ABar,ABara,50.0,,,,,
ABplp,ABpl,ABplp,50.0,,,,,
ABarp,ABar,ABarp,50.0,,,,,
ABpla,ABpl,ABpla,50.0,,,,,
ABala,ABal,ABala,50.0,,,,,
ABalp,ABal,ABalp,50.0,,,,,
ABprp,ABpr,ABprp,55.0,,,,,
ABpra,ABpr,ABpra,55.0,,,,,
Ep,E,Ep,58.0,,,,,
MSp,MS,MSp,58.0,,,,,
MSa,MS,MSa,58.0,,,,,
Ea,E,Ea,58.0,,,,,
ABplpp,ABplp,ABplpp,67.0,,,,,
ABplpa,ABplp,ABplpa,67.0,,,,,
D,P3,D,68.0,,,Embryonic founder cell.,,
P4,P3,P4,68.0,,,Embryonic founder cell: germ line.,,
ABalaa,ABala,ABalaa,68.0,,,,,
ABalap,ABala,ABalap,68.0,,,,,
ABalpp,ABalp,ABalpp,68.0,,,,,
ABalpa,ABalp,ABalpa,68.0,,,,,
ABarpp,ABarp,ABarpp,68.0,,,,,
ABarpa,ABarp,ABarpa,68.0,,,,,
Cp,C,Cp,70.0,,,,,
Ca,C,Ca,70.0,,,,,
ABprpa,ABprp,ABprpa,75.0,,,,,
ABplap,ABpla,ABplap,75.0,,,,,
ABpraa,ABpra,ABpraa,75.0,,,,,
ABprpp,ABprp,ABprpp,75.0,,,,,
ABplaa,ABpla,ABplaa,75.0,,,,,
ABarap,ABara,ABarap,75.0,,,,,
ABprap,ABpra,ABprap,75.0,,,,,
ABaraa,ABara,ABaraa,75.0,,,,,
MSpa,MSp,MSpa,85.0,,,,,
MSap,MSa,MSap,85.0,,,,,
MSpp,MSp,MSpp,85.0,,,,,
MSaa,MSa,MSaa,85.0,,,,,
ABalapa,ABalap,ABalapa,92.0,,,,,
ABalapp,ABalap,ABalapp,92.0,,,,,
ABalaaa,ABalaa,ABalaaa,94.0,,,,,
ABalaap,ABalaa,ABalaap,94.0,,,,,
Cap,Ca,Cap,97.0,,,,,
Cpa,Cp,Cpa,97.0,,,,,
Caa,Ca,Caa,97.0,,,,,
Cpp,Cp,Cpp,97.0,,,,,
ABalpaa,ABalpa,ABalpaa,105.0,,,,,
ABarapa,ABarap,ABarapa,105.0,,,,,
ABplppp,ABplpp,ABplppp,105.0,,,,,
ABarppp,ABarpp,ABarppp,105.0,,,,,
ABprppa,ABprpp,ABprppa,105.0,,,,,
